DIDELE 	 d'""id'el'e:
TANKME 	 ta.^N.'km'e:
PRIĖJOM 	 p'r'i^E:jo:m
KATĖ 	 kat'^E:
SUSIRANGĖ 	 sus'ira.^N.'g'E:
PO 	 p^o:
LOVA 	 l""o:va
DŽEIMSAS 	 dZ'^eimsas
DŽAULIS 	 dZ""aul'is
TAI 	 t^ai
ATRĄDO 	 atr^a:do:
MIŠKUOSE 	 m'iSk^uos'e
ELNĖ 	 ""e.l.'n'E:
PASIRODĖ 	 pas'ir""o:d'E:
AUKŠČEU 	 aukS'tS'^eu
KELKIME 	 k'""e.l.'k'im'e
STOGĄ 	 st""o:ga:
MAMA 	 mam""a
BELDĖ 	 b'""e.l.'d'E:
PRIE 	 p'r'^ie
DURŪ 	 d""uru:
MAMA 	 mam""a
GULDO 	 gu.^l.do:
SŪNUS 	 s""u:nus
MŪSŪ 	 m""u:su:
STULPAS 	 stu.^l.pas
IŠVIRTO 	 iS'v'i.^r.to:
PASIKVIESKI 	 pas'ikv'^ies'k'i
ARTIMĄ 	 a.^r.'t'ima:
DRAUGĄ 	 dr^auga:
TĖVO 	 t'""E:vo:
SARTIS 	 sa.^r.'t'is
PABĖGO 	 pab'""E:go:
VAIKŪ 	 vaik^u:
BARNIS 	 ba.^r.'n'is
YKYRĖJO 	 i:k'i:r'""E:jo:
VIJOSI 	 v'""ijo:s'i
BEGALVIS 	 b'ega.^l.'v'is
ERELIS 	 er'^e:l'is
TETOS 	 t'et^o:s
OBELIS 	 o:b'el'""is
PRAŽYDO 	 praZ'""i:do:
SŪNUS 	 su:n""us
BLOGYBE 	 blo:g'""i:b'e
PIKTINOSI 	 p'""ikt'ino:s'i
KARYS 	 kar'^i:s
OBJEKTĄ 	 Ob'j""ekta:
SAUGO 	 s""augo:
GRAŽIU 	 graZ'""iu
TOSTU 	 tOst""u
SUŽAVĖJO 	 suZav'""E:jo:
SVETIMU 	 s'v'^e:t'imu
KODU 	 kOd""u
PASINAUDOJO 	 pas'inaud""o:jo:
MIŠKAS 	 m'""iSkas
OŠE 	 ^o:S'e
TYLEI 	 t'^i:l'ei
VERDA 	 v'""e.r.da
KOŠĖ 	 k^o:S'E:
SKANI 	 skan'""i
VIENĄ 	 v'""iena:
DROŽLE 	 dr^o:Z'l'e:
TERĄDO 	 t'er^a:do:
TETOS 	 t'et^o:s
MEDUS 	 m'ed""us
PATIKO 	 pat'""iko:
TAIP 	 t^aip
GREITAI 	 gr'^eitai
NEMETU 	 n'""em'etu
DARBO 	 d""a.r.bo:
VIŠTAS 	 v'iSt""as
KRŪME 	 kr""u:m'e
SURĄDO 	 sur^a:do:
VIENAS 	 v'""ienas
BĄTAS 	 b^a:tas
PRADINGO 	 prad'i.^N.go:
PRĄSTAS 	 pr^a:stas
BŪSTAS 	 b""u:stas
TIKO 	 t'""iko:
TAVES 	 tav'^e:s
BOBA 	 b""o:ba
KLAUSE 	 kl""aus'e
VAIKAS 	 v^aikas
STĄBDO 	 st^a:bdo:
ŽAISLĄ 	 Z^aisla:
VINTSAS 	 v'i.^n.tsas
XĄMAS 	 x^a:mas
TIKRAS 	 t'""ikras
UŽ 	 ""uZ
TVOROS 	 tvo:r^o:s
XULIGĄNAS 	 xul'ig^a:nas
TYKO 	 t'""i:ko:
GIESMES 	 g'ies'm'""es
XORAS 	 x""Oras
PAGIEDOS 	 pag'ied^o:s
TĖVAS 	 t'""E:vas
KĄLA 	 k^a:la
STOGĄ 	 st""o:ga:
VISAS 	 v'""isas
KŪNAS 	 k""u:nas
RAUSTA 	 r^austa
TETOS 	 t'et^o:s
KOJOS 	 k""o:jo:s
TINSTA 	 t'""i.n.sta
JONAS 	 j^o:nas
RĄKTĄ 	 r^a:kta:
